RA;Idade;Sexo;IE;INDE 2022;INDE 2023;INDE 2024;Fase;Turma;Cg;Cf;Ct;Rec Av1;Rec Av2;Rec Av3;Rec Av4;IAA;IEG;IPS;IDA;Mat;Por;Atingiu PV;IPV;IAN;Defasagem;Destaque IEG;Destaque IDA;Destaque IPV;IPP;N_Idade;N_INDE 2022;N_INDE 2023;N_INDE 2024;N_Cg;N_Cf;N_Ct;N_Rec Av1;N_Rec Av2;N_Rec Av3;N_Rec Av4;N_IAA;N_IEG;N_IPS;N_IDA;N_Mat;N_Por;N_IPV;N_IAN;N_Defasagem;N_IPP;N_Sexo;N_Atingiu PV
RA-250;12;Feminino;Escola Pública;7,96;7,68;;3;G;152;23;1;1;0;0;0;8,3;8,6;7,5;6,6;6,7;6,5;Não;7,62;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,35;0,25;0,77;0,7;;0,18;0,12;0;1;0;0;0;0,83;0,86;0,67;0,66;0,67;0,65;0,68;1;0,62;0,65;0;0
RA-251;15;Masculino;Escola Pública;7,02;6,79;;3;G;482;62;4;1;0;1;0;10;8,1;5,6;6,3;5,3;6,3;Não;6,62;5;-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,28;0,4;0,62;0,54;;0,56;0,32;0,18;1;0;1;0;1;0,81;0,41;0,63;0,53;0,63;0,55;0,33;0,38;0,64;1;0
RA-252;14;Masculino;Escola Pública;4,28;6,44;;3;G;850;143;14;0;0;0;;9,2;2,8;7,5;0,9;1,3;1,2;Não;3,88;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5,75;0,35;0,2;0,48;;0,99;0,74;0,76;0;0;0;;0,92;0,28;0,67;0,09;0,13;0,12;0,18;0,33;0,5;0,43;1;0
RA-253;15;Masculino;Escola Pública;4,31;6,43;;3;G;847;142;13;0;0;0;;9,2;3,6;5;1,8;1;3,7;Não;3,75;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5,64;0,4;0,2;0,48;;0,98;0,74;0,71;0;0;0;;0,92;0,36;0,33;0,18;0,1;0,37;0,17;0,33;0,38;0,42;1;0
RA-254;14;Masculino;Escola Pública;6,72;6,88;;3;G;584;76;7;1;0;1;0;10;7,4;5,6;5,3;5;6,8;Não;6,92;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,91;0,35;0,58;0,56;;0,68;0,39;0,35;1;0;1;0;1;0,74;0,41;0,53;0,5;0,68;0,59;0,33;0,5;0,59;1;0
RA-255;14;Masculino;Escola Pública;4,56;6,43;;3;G;841;139;12;0;0;0;0;7,5;3,8;5;1,3;1;2,3;Não;5,54;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5,69;0,35;0,24;0,48;;0,98;0,72;0,65;0;0;0;0;0,75;0,38;0,33;0,13;0,1;0,23;0,4;0,33;0,5;0,43;1;0
RA-256;12;Feminino;Escola Pública;7,19;7,55;;3;G;433;52;3;1;0;1;0;8,8;8,5;5;5,2;5,3;6,7;Não;6,71;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,7;0,25;0,65;0,68;;0,5;0,27;0,12;1;0;1;0;0,88;0,85;0,33;0,52;0,53;0,67;0,56;1;0,62;0,69;0;0
RA-257;14;Feminino;Escola Pública;5,15;5,44;;3;G;815;124;9;1;0;1;0;0;6,4;5,6;3,6;4;5,2;Não;6,71;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,65;0,35;0,33;0,3;;0,95;0,64;0,47;1;0;1;0;0;0,64;0,41;0,36;0,4;0,52;0,56;0,33;0,5;0,55;0;0
RA-258;12;Feminino;Escola Pública;6,93;7,28;;3;G;517;67;5;0;0;1;0;10;7,3;5,6;4,8;2,7;6,2;Não;6,12;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,05;0,25;0,61;0,63;;0,6;0,35;0,24;0;0;1;0;1;0,73;0,41;0,48;0,27;0,62;0,48;1;0,62;0,61;0;0
RA-259;16;Masculino;Escola Pública;4,18;6,45;;3;G;853;146;15;0;0;1;;8,8;2,9;7,5;0,9;0;2,7;Não;4,62;2,5;-3;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5,19;0,45;0,18;0,48;;0,99;0,76;0,82;0;0;1;;0,88;0,29;0,67;0,09;0;0,27;0,28;0;0,25;0,36;1;0
RA-260;13;Feminino;Escola Pública;7,44;7,34;;3;G;340;38;2;0;0;0;0;10;8,2;7,5;5;5,7;5,2;Não;6,46;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,19;0,3;0,69;0,64;;0,39;0,19;0,06;0;0;0;0;1;0,82;0,67;0,5;0,57;0,52;0,53;1;0,62;0,63;0;0
RA-261;14;Feminino;Escola Pública;6,76;6,84;;3;G;566;74;6;1;0;1;0;8,8;7,2;5,6;5,8;6,2;5,8;Não;7,04;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,62;0,35;0,58;0,55;;0,66;0,38;0,29;1;0;1;0;0,88;0,72;0,41;0,58;0,62;0,58;0,6;0,33;0,5;0,68;0;0
RA-262;15;Masculino;Escola Pública;4,79;5,95;;3;G;835;135;11;1;0;1;0;0;5,8;5,6;3,4;1,3;5,5;Não;5,62;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,13;0,4;0,27;0,39;;0,97;0,7;0,59;1;0;1;0;0;0,58;0,41;0,34;0,13;0,55;0,42;0,33;0,38;0,62;1;0
RA-263;15;Feminino;Escola Pública;5,32;5,37;;3;G;800;121;8;1;0;0;0;5,8;5,6;7,5;3,7;3;2,8;Não;4,42;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,81;0,4;0,36;0,29;;0,93;0,63;0,41;1;0;0;0;0,58;0,56;0,67;0,37;0,3;0,28;0,26;0,33;0,38;0,57;0;0
RA-264;15;Feminino;Escola Pública;7,09;7,06;;3;I;460;57;2;1;0;1;0;10;9,2;5,6;5,8;6;5,5;Não;6,62;5;-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,33;0,4;0,63;0,59;;0,53;0,29;0,06;1;0;1;0;1;0,92;0,41;0,58;0,6;0,55;0,55;0,33;0,38;0,64;0;0
RA-265;13;Masculino;Escola Pública;7,93;7,79;;3;I;162;26;1;1;0;1;0;8,3;7,7;7,5;6,9;5,3;7;Não;7,92;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,44;0,3;0,76;0,72;;0,19;0,13;0;1;0;1;0;0,83;0,77;0,67;0,69;0,53;0,7;0,72;1;0,62;0,66;1;0
RA-266;16;Feminino;Escola Pública;5,99;6,35;;3;I;730;104;4;1;0;1;1;7,5;5,8;5,6;6;5;6,7;Não;6,58;2,5;-3;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,56;0,45;0,46;0,46;;0,85;0,54;0,18;1;0;1;1;0,75;0,58;0,41;0,6;0,5;0,67;0,54;0;0,25;0,67;0;0
RA-267;15;Feminino;Escola Pública;6,01;6,25;;3;I;727;103;3;1;0;1;0;10;7,4;5;3,3;2,3;4,8;Não;6,29;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,69;0,4;0,46;0,44;;0,84;0,53;0,12;1;0;1;0;1;0,74;0,33;0,33;0,23;0,48;0,5;0,33;0,38;0,56;0;0
RA-268;14;Feminino;Escola Pública;6,7;7,12;;3;K;590;77;11;1;0;1;0;9,2;6,7;6,3;5,7;7;6,8;Não;7,21;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,28;0,35;0,57;0,6;;0,68;0,4;0,59;1;0;1;0;0,92;0,67;0,51;0,57;0,7;0,68;0,63;0,33;0,5;0,64;0;0
RA-269;13;Masculino;Escola Pública;8,23;8,14;;3;K;76;13;2;1;0;1;1;9,2;8,6;6,3;8,9;8,7;9,5;Não;7,25;10;0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,85;0,3;0,81;0,78;;0,09;0,06;0,06;1;0;1;1;0,92;0,86;0,51;0,89;0,87;0,95;0,63;1;0,62;0,71;1;0
RA-270;13;Feminino;Rede Decisão;8,23;8,16;;3;K;79;14;3;1;0;1;0;8,3;8,4;6,9;7,9;8;7,2;Não;8,12;10;0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,25;0,3;0,81;0,78;;0,09;0,07;0,12;1;0;1;0;0,83;0,84;0,59;0,79;0,8;0,72;0,75;1;0,62;0,77;0;0
RA-271;15;Feminino;Escola Pública;7,26;7,18;;3;K;411;50;8;1;0;1;0;9,2;8,5;5,6;7,1;6,3;6,5;Não;6,96;5;-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,83;0,4;0,66;0,61;;0,48;0,26;0,41;1;0;1;0;0,92;0,85;0,41;0,71;0,63;0,65;0,59;0,33;0,38;0,58;0;0
RA-272;14;Masculino;Escola Pública;6,36;6,74;;3;K;666;88;14;0;0;1;1;9,2;5,7;7,5;5,1;5;6,8;Não;6,42;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,46;0,35;0,52;0,53;;0,77;0,46;0,76;0;0;1;1;0,92;0,57;0,67;0,51;0,5;0,68;0,52;0,33;0,5;0,66;1;0
RA-273;14;Feminino;Escola Pública;5,68;5,94;;3;K;761;110;15;0;0;0;1;9,2;5,3;7,5;3;3,8;4,7;Não;5,83;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,53;0,35;0,41;0,39;;0,88;0,57;0,82;0;0;0;1;0,92;0,53;0,67;0,3;0,38;0,47;0,44;0,33;0,5;0,54;0;0
RA-274;11;Feminino;Rede Decisão;7,95;8,26;;3;K;157;24;5;1;0;1;;7,9;8,3;7,5;8,1;8,1;9,3;Não;7;10;1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8,01;0,2;0,77;0,8;;0,18;0,12;0,24;1;0;1;;0,79;0,83;0,67;0,81;0,81;0,93;0,6;1;0,75;0,73;0;0
RA-275;15;Masculino;Escola Pública;6,66;6,34;;3;K;600;79;12;1;0;1;1;9,6;6,9;7,5;4,6;5;6;Não;6,67;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,91;0,4;0,57;0,46;;0,7;0,41;0,65;1;0;1;1;0,96;0,69;0,67;0,46;0,5;0,6;0,56;0,33;0,38;0,59;1;0
RA-276;14;Feminino;Escola Pública;5,53;6,22;;3;K;788;118;16;1;0;0;1;7,1;5,7;5,6;4,3;3,7;6;Não;5,12;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,12;0,35;0,39;0,44;;0,91;0,61;0,88;1;0;0;1;0,71;0,57;0,41;0,43;0,37;0,6;0,35;0,33;0,5;0,62;0;0
RA-277;14;Masculino;Escola Pública;7,41;7,61;;3;K;354;41;7;1;0;1;0;7,1;8,8;7,5;7,4;7,2;7;Não;7,21;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,33;0,35;0,68;0,69;;0,41;0,21;0,35;1;0;1;0;0,71;0,88;0,67;0,74;0,72;0,7;0,63;0,33;0,5;0,64;1;0
RA-278;12;Masculino;Rede Decisão;7,74;7,77;;3;K;222;31;6;1;0;1;0;8,8;9,2;5,6;6;5,7;5,8;Não;7,42;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,73;0,25;0,73;0,72;;0,26;0,16;0,29;1;0;1;0;0,88;0,92;0,41;0,6;0,57;0,58;0,66;1;0,62;0,7;1;0
RA-279;13;Masculino;Rede Decisão;8,82;8,6;;3;K;10;1;1;1;0;1;0;9,2;9,9;6,3;9,1;9,7;8,3;Não;8,21;10;0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,5;0,3;0,9;0,86;;0,01;0;0;1;0;1;0;0,92;0,99;0,51;0,91;0,97;0,83;0,76;1;0,62;0,8;1;0
RA-280;13;Feminino;Rede Decisão;8,05;7,58;;3;K;133;20;4;1;0;1;1;7,5;9,2;7,5;7,1;5,7;7;Não;7,33;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,25;0,3;0,78;0,68;;0,15;0,1;0,18;1;0;1;1;0,75;0,92;0,67;0,71;0,57;0,7;0,64;1;0,62;0,63;0;0
RA-281;13;Feminino;Escola Pública;6,81;7,4;;3;K;553;71;10;0;0;0;0;6,7;6,9;7,5;5,9;5;6,8;Não;5,62;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,34;0,3;0,59;0,65;;0,64;0,37;0,53;0;0;0;0;0,67;0,69;0,67;0,59;0,5;0,68;0,42;1;0,62;0,65;0;0
RA-282;13;Feminino;Escola Pública;6,62;7,08;;3;K;620;80;13;0;0;0;0;8,8;6,8;7,5;4;4,7;6,3;Não;5,62;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,46;0,3;0,56;0,59;;0,72;0,41;0,71;0;0;0;0;0,88;0,68;0,67;0,4;0,47;0,63;0,42;1;0,62;0,66;0;0
RA-283;14;Masculino;Escola Pública;7,13;6,92;;3;K;448;54;9;0;0;0;1;9,6;8,8;7,5;5,6;4,5;5,8;Não;6,62;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,42;0,35;0,64;0,56;;0,52;0,28;0,47;0;0;0;1;0,96;0,88;0,67;0,56;0,45;0,58;0,55;0,33;0,5;0,66;1;0
RA-284;13;Masculino;Escola Pública;5,94;6,86;;3;L;734;106;3;1;0;0;0;6,7;5,1;5,6;3,8;7;4,5;Não;5,96;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,95;0,3;0,45;0,55;;0,85;0,55;0,12;1;0;0;0;0,67;0,51;0,41;0,38;0,7;0,45;0,46;1;0,62;0,59;1;0
RA-285;16;Feminino;Escola Pública;5,06;6,12;;3;L;817;126;5;1;0;1;;9,2;4,1;7,5;2,8;4;3,2;Não;5,75;2,5;-3;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,88;0,45;0,32;0,42;;0,95;0,65;0,24;1;0;1;;0,92;0,41;0,67;0,28;0,4;0,32;0,43;0;0,25;0,58;0;0
RA-286;15;Feminino;Escola Pública;5,42;5,74;;3;L;794;119;4;1;0;1;0;7,1;5,8;6,3;3;4,7;2,3;Não;5,62;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,88;0,4;0,37;0,35;;0,92;0,62;0,18;1;0;1;0;0,71;0,58;0,51;0,3;0,47;0,23;0,42;0,33;0,38;0,58;0;0
RA-287;17;Feminino;Escola Pública;3,7;6,41;;3;L;859;148;11;0;0;0;;7,9;3,4;5;1,1;0,7;2,5;Não;4,29;2,5;-4;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5,91;0,5;0,1;0,47;;1;0,77;0,59;0;0;0;;0,79;0,34;0,33;0,11;0,07;0,25;0,24;0;0,12;0,45;0;0
RA-288;16;Feminino;Escola Pública;4,1;5,25;;3;L;854;147;10;1;0;1;0;0;5,6;6,3;0;2,54;4,44;Não;6,83;2,5;-3;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,52;0,45;0,17;0,27;;0,99;0,76;0,53;1;0;1;0;0;0,56;0,51;0;0,25;0,44;0,58;0;0,25;0,67;0;0
RA-289;14;Feminino;Escola Pública;6,24;6,44;;3;L;699;94;2;1;0;1;1;0;7,8;6,3;6,8;5,3;7,5;Não;7,25;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,42;0,35;0,5;0,48;;0,81;0,49;0,06;1;0;1;1;0;0,78;0,51;0,68;0,53;0,75;0,63;0,33;0,5;0,66;0;0
RA-290;17;Feminino;Escola Pública;4,93;6,62;;3;L;830;131;7;0;0;0;0;10;3,9;6,3;1,7;1;2,3;Não;6,04;2,5;-4;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5,82;0,5;0,3;0,51;;0,96;0,68;0,35;0;0;0;0;1;0,39;0,51;0,17;0,1;0,23;0,47;0;0,12;0,44;0;0
RA-291;13;Masculino;Escola Pública;8,12;7,85;;3;L;107;18;1;1;0;1;1;8,3;8,2;6,9;8;8;7,5;Não;7,79;10;0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,11;0,3;0,79;0,73;;0,12;0,09;0;1;0;1;1;0,83;0,82;0,59;0,8;0,8;0,75;0,7;1;0,62;0,75;1;0
RA-292;16;Masculino;Escola Pública;4,84;6,22;;3;L;833;134;9;0;0;0;1;7,9;3,7;7,5;1,8;0;5;Não;6,29;2,5;-3;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,81;0,45;0,28;0,44;;0,97;0,7;0,47;0;0;0;1;0,79;0,37;0,67;0,18;0;0,5;0,5;0;0,25;0,57;1;0
RA-293;13;Masculino;Escola Pública;4,88;6,87;;3;L;831;132;8;0;0;0;0;8,8;2,9;7,5;2,3;2;3,8;Não;3,33;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,69;0,3;0,29;0,56;;0,96;0,69;0,41;0;0;0;0;0,88;0,29;0,67;0,23;0,2;0,38;0,11;1;0,62;0,56;1;0
RA-294;18;Feminino;Escola Pública;5,03;6,62;;3;L;819;127;6;1;0;1;1;9,6;5,8;7,5;0;2,2;2,84;Não;5,92;2,5;-5;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,82;0,55;0,31;0,51;;0,95;0,66;0,29;1;0;1;1;0,96;0,58;0,67;0;0,22;0,28;0,46;0;0;0,58;0;0
RA-295;14;Feminino;Escola Pública;7,3;7,33;;3;M;386;45;2;1;0;1;1;7,9;8;7,5;6,9;5,3;7,7;Não;7,38;5;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,69;0,35;0,67;0,64;;0,45;0,23;0,06;1;0;1;1;0,79;0,8;0,67;0,69;0,53;0,77;0,65;0,33;0,5;0,69;0;0
RA-296;15;Feminino;Escola Pública;4,66;6,38;;3;M;839;137;16;1;0;0;;8,8;3,6;7,5;2,8;5,7;2,7;Não;3,83;5;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;5,82;0,4;0,25;0,47;;0,97;0,71;0,88;1;0;0;;0,88;0,36;0,67;0,28;0,57;0,27;0,18;0,33;0,38;0,44;0;0
RA-297;13;Feminino;Escola Pública;7,48;7,28;;3;M;324;36;1;1;0;1;1;7,1;7,9;6,3;6,6;6,3;5,3;Não;7,42;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,78;0,3;0,69;0,63;;0,38;0,18;0;1;0;1;1;0,71;0,79;0,51;0,66;0,63;0,53;0,66;1;0,62;0,7;0;0
RA-298;13;Masculino;Escola Pública;6,41;6,82;;3;M;659;86;7;1;0;0;;9,2;6,3;5,6;5,2;5,5;4,8;Não;5,42;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,21;0,3;0,53;0,55;;0,76;0,45;0,35;1;0;0;;0,92;0,63;0,41;0,52;0,55;0,48;0,39;1;0,62;0,63;1;0
RA-299;13;Feminino;Rede Decisão;7,28;7,61;;3;M;404;48;3;1;0;1;1;7,1;8,2;5;6,8;6,3;7,3;Não;6,71;10;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,95;0,3;0,66;0,69;;0,47;0,25;0,12;1;0;1;1;0,71;0,82;0,33;0,68;0,63;0,73;0,56;1;0,62;0,73;0;0
RA-300;14;Masculino;Escola Pública;5,56;6,34;;3;M;781;116;14;0;0;0;1;5,4;6,9;6,3;3,1;2,7;4,8;Não;5,88;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,47;0,35;0,39;0,46;;0,91;0,6;0,76;0;0;0;1;0,54;0,69;0,51;0,31;0,27;0,48;0,45;0,33;0,5;0,53;1;0
RA-301;13;Feminino;Escola Pública;6,8;6,64;;3;M;554;72;5;1;0;1;1;8,8;5,8;5,6;6,3;6,5;7,2;Não;6,04;10;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,59;0,3;0,59;0,51;;0,64;0,37;0,24;1;0;1;1;0,88;0,58;0,41;0,63;0,65;0,72;0,47;1;0,62;0,68;0;0
RA-302;16;Masculino;Escola Pública;6,33;6,92;;3;M;673;90;10;1;0;0;1;9,2;7,7;6,9;4,8;4,3;5;Não;6,21;2,5;-3;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,22;0,45;0,51;0,56;;0,78;0,47;0,53;1;0;0;1;0,92;0,77;0,59;0,48;0,43;0,5;0,49;0;0,25;0,63;1;0
RA-303;14;Masculino;Escola Pública;6,03;6,07;;3;M;723;102;13;0;0;0;1;7,5;7,2;7,5;3,9;3,8;4;Não;5,38;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,59;0,35;0,47;0,41;;0,84;0,53;0,71;0;0;0;1;0,75;0,72;0,67;0,39;0,38;0,4;0,38;0,33;0,5;0,55;1;0
RA-304;15;Masculino;Escola Pública;6,36;6,57;;3;M;667;89;9;0;0;0;1;8,8;7,7;7,5;4,3;3;5,5;Não;5,54;5;-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,25;0,4;0,52;0,5;;0,77;0,46;0,47;0;0;0;1;0,88;0,77;0,67;0,43;0,3;0,55;0,4;0,33;0,38;0,63;1;0
RA-305;14;Masculino;Escola Pública;6,06;6,18;;3;M;717;100;12;0;0;0;;7,9;6,6;7,5;4,8;2,8;6,7;Não;5,21;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,13;0,35;0,47;0,43;;0,83;0,52;0,65;0;0;0;;0,79;0,66;0,67;0,48;0,28;0,67;0,36;0,33;0,5;0,62;1;0
RA-306;14;Feminino;Escola Pública;6,43;6,56;;3;M;656;85;6;1;0;1;1;8,3;6,8;7,5;5,2;4,7;5,8;Não;5,96;5;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,03;0,35;0,53;0,5;;0,76;0,44;0,29;1;0;1;1;0,83;0,68;0,67;0,52;0,47;0,58;0,46;0,33;0,5;0,6;0;0
